[2023-12-22 16:22:25,431 (J:\Projects\IoT_System\Server\DAL\RCS\handle.py:433 - logError())] ERROR -> [RCS] HTTPConnectionPool(host='172.28.11.200', port=8080): Max retries exceeded with url: /rcms/services/rest/hikRpcService/genAgvSchedulingTask (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x00000153946FC9D0>, 'Connection to 172.28.11.200 timed out. (connect timeout=3)')) (Request: {'reqCode': 'iot-1703262142', 'taskTyp': 'F081', 'positionCodePath': [{'positionCode': '1F4', 'type': '00'}, {'positionCode': '4', 'type': '00'}], 'podCode': '', 'podDir': '', 'priority': 1, 'agvCode': 'agv1'})
[2023-12-22 16:22:31,457 (J:\Projects\IoT_System\Server\DAL\RCS\handle.py:433 - logError())] ERROR -> [RCS] HTTPConnectionPool(host='172.28.11.200', port=8080): Max retries exceeded with url: /rcms/services/rest/hikRpcService/genAgvSchedulingTask (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x000001539474BCA0>, 'Connection to 172.28.11.200 timed out. (connect timeout=3)')) (Request: {'reqCode': 'iot-1703262148', 'taskTyp': 'F081', 'positionCodePath': [{'positionCode': '1F4', 'type': '00'}, {'positionCode': '4', 'type': '00'}], 'podCode': '', 'podDir': '', 'priority': 1, 'agvCode': 'agv1'})
[2023-12-22 16:22:37,481 (J:\Projects\IoT_System\Server\DAL\RCS\handle.py:433 - logError())] ERROR -> [RCS] HTTPConnectionPool(host='172.28.11.200', port=8080): Max retries exceeded with url: /rcms/services/rest/hikRpcService/genAgvSchedulingTask (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x00000153946FC520>, 'Connection to 172.28.11.200 timed out. (connect timeout=3)')) (Request: {'reqCode': 'iot-1703262154', 'taskTyp': 'F081', 'positionCodePath': [{'positionCode': '1F4', 'type': '00'}, {'positionCode': '4', 'type': '00'}], 'podCode': '', 'podDir': '', 'priority': 1, 'agvCode': 'agv1'})
[2023-12-22 16:22:43,504 (J:\Projects\IoT_System\Server\DAL\RCS\handle.py:433 - logError())] ERROR -> [RCS] HTTPConnectionPool(host='172.28.11.200', port=8080): Max retries exceeded with url: /rcms/services/rest/hikRpcService/genAgvSchedulingTask (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x0000015394743310>, 'Connection to 172.28.11.200 timed out. (connect timeout=3)')) (Request: {'reqCode': 'iot-1703262160', 'taskTyp': 'F081', 'positionCodePath': [{'positionCode': '1F4', 'type': '00'}, {'positionCode': '4', 'type': '00'}], 'podCode': '', 'podDir': '', 'priority': 1, 'agvCode': 'agv1'})
[2023-12-22 16:22:49,524 (J:\Projects\IoT_System\Server\DAL\RCS\handle.py:433 - logError())] ERROR -> [RCS] HTTPConnectionPool(host='172.28.11.200', port=8080): Max retries exceeded with url: /rcms/services/rest/hikRpcService/genAgvSchedulingTask (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x00000153946EBA00>, 'Connection to 172.28.11.200 timed out. (connect timeout=3)')) (Request: {'reqCode': 'iot-1703262166', 'taskTyp': 'F081', 'positionCodePath': [{'positionCode': '1F4', 'type': '00'}, {'positionCode': '4', 'type': '00'}], 'podCode': '', 'podDir': '', 'priority': 1, 'agvCode': 'agv1'})
[2023-12-22 16:22:55,558 (J:\Projects\IoT_System\Server\DAL\RCS\handle.py:433 - logError())] ERROR -> [RCS] HTTPConnectionPool(host='172.28.11.200', port=8080): Max retries exceeded with url: /rcms/services/rest/hikRpcService/genAgvSchedulingTask (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x0000015394734190>, 'Connection to 172.28.11.200 timed out. (connect timeout=3)')) (Request: {'reqCode': 'iot-1703262172', 'taskTyp': 'F081', 'positionCodePath': [{'positionCode': '1F4', 'type': '00'}, {'positionCode': '4', 'type': '00'}], 'podCode': '', 'podDir': '', 'priority': 1, 'agvCode': 'agv1'})
[2023-12-22 16:23:01,572 (J:\Projects\IoT_System\Server\DAL\RCS\handle.py:433 - logError())] ERROR -> [RCS] HTTPConnectionPool(host='172.28.11.200', port=8080): Max retries exceeded with url: /rcms/services/rest/hikRpcService/genAgvSchedulingTask (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x0000015394734130>, 'Connection to 172.28.11.200 timed out. (connect timeout=3)')) (Request: {'reqCode': 'iot-1703262178', 'taskTyp': 'F081', 'positionCodePath': [{'positionCode': '1F4', 'type': '00'}, {'positionCode': '4', 'type': '00'}], 'podCode': '', 'podDir': '', 'priority': 1, 'agvCode': 'agv1'})
[2023-12-22 16:23:07,595 (J:\Projects\IoT_System\Server\DAL\RCS\handle.py:433 - logError())] ERROR -> [RCS] HTTPConnectionPool(host='172.28.11.200', port=8080): Max retries exceeded with url: /rcms/services/rest/hikRpcService/genAgvSchedulingTask (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x00000153946DAD00>, 'Connection to 172.28.11.200 timed out. (connect timeout=3)')) (Request: {'reqCode': 'iot-1703262184', 'taskTyp': 'F081', 'positionCodePath': [{'positionCode': '1F4', 'type': '00'}, {'positionCode': '4', 'type': '00'}], 'podCode': '', 'podDir': '', 'priority': 1, 'agvCode': 'agv1'})
[2023-12-22 16:23:19,566 (J:\Projects\IoT_System\Server\DAL\RCS\handle.py:433 - logError())] ERROR -> [RCS] HTTPConnectionPool(host='172.28.11.200', port=8080): Max retries exceeded with url: /rcms/services/rest/hikRpcService/genAgvSchedulingTask (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x00000293B14CECD0>, 'Connection to 172.28.11.200 timed out. (connect timeout=3)')) (Request: {'reqCode': 'iot-1703262196', 'taskTyp': 'F081', 'positionCodePath': [{'positionCode': '1F4', 'type': '00'}, {'positionCode': '4', 'type': '00'}], 'podCode': '', 'podDir': '', 'priority': 1, 'agvCode': 'agv1'})
[2023-12-22 16:23:25,594 (J:\Projects\IoT_System\Server\DAL\RCS\handle.py:433 - logError())] ERROR -> [RCS] HTTPConnectionPool(host='172.28.11.200', port=8080): Max retries exceeded with url: /rcms/services/rest/hikRpcService/genAgvSchedulingTask (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x00000293B15167F0>, 'Connection to 172.28.11.200 timed out. (connect timeout=3)')) (Request: {'reqCode': 'iot-1703262202', 'taskTyp': 'F081', 'positionCodePath': [{'positionCode': '1F4', 'type': '00'}, {'positionCode': '4', 'type': '00'}], 'podCode': '', 'podDir': '', 'priority': 1, 'agvCode': 'agv1'})
[2023-12-22 16:23:31,606 (J:\Projects\IoT_System\Server\DAL\RCS\handle.py:433 - logError())] ERROR -> [RCS] HTTPConnectionPool(host='172.28.11.200', port=8080): Max retries exceeded with url: /rcms/services/rest/hikRpcService/genAgvSchedulingTask (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x00000293B151F940>, 'Connection to 172.28.11.200 timed out. (connect timeout=3)')) (Request: {'reqCode': 'iot-1703262208', 'taskTyp': 'F081', 'positionCodePath': [{'positionCode': '1F4', 'type': '00'}, {'positionCode': '4', 'type': '00'}], 'podCode': '', 'podDir': '', 'priority': 1, 'agvCode': 'agv1'})
[2023-12-22 16:23:37,626 (J:\Projects\IoT_System\Server\DAL\RCS\handle.py:433 - logError())] ERROR -> [RCS] HTTPConnectionPool(host='172.28.11.200', port=8080): Max retries exceeded with url: /rcms/services/rest/hikRpcService/genAgvSchedulingTask (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x00000293B152E1C0>, 'Connection to 172.28.11.200 timed out. (connect timeout=3)')) (Request: {'reqCode': 'iot-1703262214', 'taskTyp': 'F081', 'positionCodePath': [{'positionCode': '1F4', 'type': '00'}, {'positionCode': '4', 'type': '00'}], 'podCode': '', 'podDir': '', 'priority': 1, 'agvCode': 'agv1'})
[2023-12-22 16:23:43,645 (J:\Projects\IoT_System\Server\DAL\RCS\handle.py:433 - logError())] ERROR -> [RCS] HTTPConnectionPool(host='172.28.11.200', port=8080): Max retries exceeded with url: /rcms/services/rest/hikRpcService/genAgvSchedulingTask (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x00000293B152E7F0>, 'Connection to 172.28.11.200 timed out. (connect timeout=3)')) (Request: {'reqCode': 'iot-1703262220', 'taskTyp': 'F081', 'positionCodePath': [{'positionCode': '1F4', 'type': '00'}, {'positionCode': '4', 'type': '00'}], 'podCode': '', 'podDir': '', 'priority': 1, 'agvCode': 'agv1'})
[2023-12-22 16:23:49,661 (J:\Projects\IoT_System\Server\DAL\RCS\handle.py:433 - logError())] ERROR -> [RCS] HTTPConnectionPool(host='172.28.11.200', port=8080): Max retries exceeded with url: /rcms/services/rest/hikRpcService/genAgvSchedulingTask (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x00000293B1569610>, 'Connection to 172.28.11.200 timed out. (connect timeout=3)')) (Request: {'reqCode': 'iot-1703262226', 'taskTyp': 'F081', 'positionCodePath': [{'positionCode': '1F4', 'type': '00'}, {'positionCode': '4', 'type': '00'}], 'podCode': '', 'podDir': '', 'priority': 1, 'agvCode': 'agv1'})
[2023-12-22 16:23:55,681 (J:\Projects\IoT_System\Server\DAL\RCS\handle.py:433 - logError())] ERROR -> [RCS] HTTPConnectionPool(host='172.28.11.200', port=8080): Max retries exceeded with url: /rcms/services/rest/hikRpcService/genAgvSchedulingTask (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x00000293B1584430>, 'Connection to 172.28.11.200 timed out. (connect timeout=3)')) (Request: {'reqCode': 'iot-1703262232', 'taskTyp': 'F081', 'positionCodePath': [{'positionCode': '1F4', 'type': '00'}, {'positionCode': '4', 'type': '00'}], 'podCode': '', 'podDir': '', 'priority': 1, 'agvCode': 'agv1'})
[2023-12-22 16:24:01,701 (J:\Projects\IoT_System\Server\DAL\RCS\handle.py:433 - logError())] ERROR -> [RCS] HTTPConnectionPool(host='172.28.11.200', port=8080): Max retries exceeded with url: /rcms/services/rest/hikRpcService/genAgvSchedulingTask (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x00000293B1584310>, 'Connection to 172.28.11.200 timed out. (connect timeout=3)')) (Request: {'reqCode': 'iot-1703262238', 'taskTyp': 'F081', 'positionCodePath': [{'positionCode': '1F4', 'type': '00'}, {'positionCode': '4', 'type': '00'}], 'podCode': '', 'podDir': '', 'priority': 1, 'agvCode': 'agv1'})
[2023-12-22 16:24:07,719 (J:\Projects\IoT_System\Server\DAL\RCS\handle.py:433 - logError())] ERROR -> [RCS] HTTPConnectionPool(host='172.28.11.200', port=8080): Max retries exceeded with url: /rcms/services/rest/hikRpcService/genAgvSchedulingTask (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x00000293B1584430>, 'Connection to 172.28.11.200 timed out. (connect timeout=3)')) (Request: {'reqCode': 'iot-1703262244', 'taskTyp': 'F081', 'positionCodePath': [{'positionCode': '1F4', 'type': '00'}, {'positionCode': '4', 'type': '00'}], 'podCode': '', 'podDir': '', 'priority': 1, 'agvCode': 'agv1'})
[2023-12-22 16:24:13,736 (J:\Projects\IoT_System\Server\DAL\RCS\handle.py:433 - logError())] ERROR -> [RCS] HTTPConnectionPool(host='172.28.11.200', port=8080): Max retries exceeded with url: /rcms/services/rest/hikRpcService/genAgvSchedulingTask (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x00000293B1569B80>, 'Connection to 172.28.11.200 timed out. (connect timeout=3)')) (Request: {'reqCode': 'iot-1703262250', 'taskTyp': 'F081', 'positionCodePath': [{'positionCode': '1F4', 'type': '00'}, {'positionCode': '4', 'type': '00'}], 'podCode': '', 'podDir': '', 'priority': 1, 'agvCode': 'agv1'})
[2023-12-22 16:24:19,751 (J:\Projects\IoT_System\Server\DAL\RCS\handle.py:433 - logError())] ERROR -> [RCS] HTTPConnectionPool(host='172.28.11.200', port=8080): Max retries exceeded with url: /rcms/services/rest/hikRpcService/genAgvSchedulingTask (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x00000293B152E1F0>, 'Connection to 172.28.11.200 timed out. (connect timeout=3)')) (Request: {'reqCode': 'iot-1703262256', 'taskTyp': 'F081', 'positionCodePath': [{'positionCode': '1F4', 'type': '00'}, {'positionCode': '4', 'type': '00'}], 'podCode': '', 'podDir': '', 'priority': 1, 'agvCode': 'agv1'})
[2023-12-22 16:24:25,764 (J:\Projects\IoT_System\Server\DAL\RCS\handle.py:433 - logError())] ERROR -> [RCS] HTTPConnectionPool(host='172.28.11.200', port=8080): Max retries exceeded with url: /rcms/services/rest/hikRpcService/genAgvSchedulingTask (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x00000293B158AF10>, 'Connection to 172.28.11.200 timed out. (connect timeout=3)')) (Request: {'reqCode': 'iot-1703262262', 'taskTyp': 'F081', 'positionCodePath': [{'positionCode': '1F4', 'type': '00'}, {'positionCode': '4', 'type': '00'}], 'podCode': '', 'podDir': '', 'priority': 1, 'agvCode': 'agv1'})
[2023-12-22 16:24:31,784 (J:\Projects\IoT_System\Server\DAL\RCS\handle.py:433 - logError())] ERROR -> [RCS] HTTPConnectionPool(host='172.28.11.200', port=8080): Max retries exceeded with url: /rcms/services/rest/hikRpcService/genAgvSchedulingTask (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x00000293B158AA60>, 'Connection to 172.28.11.200 timed out. (connect timeout=3)')) (Request: {'reqCode': 'iot-1703262268', 'taskTyp': 'F081', 'positionCodePath': [{'positionCode': '1F4', 'type': '00'}, {'positionCode': '4', 'type': '00'}], 'podCode': '', 'podDir': '', 'priority': 1, 'agvCode': 'agv1'})
